Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Category,Product_Name,Quantity,Unit_Price,Gross_Sales,Discount_Percent,Discount_Amount,Net_Sales,Cost,Profit,State,City,Payment_Mode,Ship_Mode,Sales_Channel,Is_Returned,Customer_Rating
AMZ-109257,2022-01-01,CUST-35516,Aarav Iyer,New,Beauty & Personal Care,Perfume,2,1723.91,3447.82,15,517.17,2930.65,2186.49,744.16,Kerala,Kochi,Credit Card,Expedited,Amazon App - Prime,0,2
AMZ-194773,2022-01-01,CUST-14991,Ritu Mehta,Prime Member,Home & Kitchen,Curtains,1,1624.55,1624.55,0,0.0,1624.55,1127.3,497.25,Haryana,Faridabad,Amazon Pay,Same-Day,Amazon App - Prime,0,5
AMZ-133540,2022-01-01,CUST-32059,Ishita Mehta,Prime Member,Electronics,Laptop,1,46913.33,46913.33,5,2345.67,44567.66,28807.66,15760.0,Uttar Pradesh,Kanpur,Cash on Delivery,Standard,Mobile App,0,5
AMZ-151909,2022-01-01,CUST-24154,Aarav Kumar,New,Home & Kitchen,Bedsheet Set,1,5187.91,5187.91,0,0.0,5187.91,3830.01,1357.9,Karnataka,Bengaluru,Credit Card,Standard,Website,0,5
AMZ-132766,2022-01-02,CUST-44523,Ananya Kumar,Returning,Home & Kitchen,Water Bottle,4,4529.23,18116.92,30,5435.08,12681.84,13269.25,-587.41,Rajasthan,Udaipur,Credit Card,Same-Day,Amazon App - Prime,1,3
AMZ-113201,2022-01-02,CUST-36220,Aadhya Joshi,Returning,Books,Self-Help Book,2,277.12,554.24,10,55.42,498.82,372.5,126.32,Punjab,Amritsar,UPI,Prime One-Day,Amazon App - Prime,1,2
AMZ-183508,2022-01-02,CUST-27127,Ritu Singh,Returning,Home & Kitchen,Bedsheet Set,1,6316.53,6316.53,0,0.0,6316.53,4407.29,1909.24,Uttar Pradesh,Lucknow,UPI,Prime One-Day,Website,0,1
AMZ-120544,2022-01-02,CUST-18394,Ananya Sharma,Prime Member,Sports & Fitness,Cricket Bat,1,2727.8,2727.8,20,545.56,2182.24,1865.12,317.12,Kerala,Thiruvananthapuram,UPI,Standard,Amazon App - Prime,0,4
AMZ-185485,2022-01-02,CUST-16966,Myra Rao,New,Fashion,Handbag,1,1464.2,1464.2,10,146.42,1317.78,1063.75,254.03,Karnataka,Mysuru,Credit Card,Same-Day,Amazon App - Prime,0,5
AMZ-157089,2022-01-02,CUST-40715,Rohan Chopra,Returning,Toys & Baby Products,Remote Control Car,5,1196.17,5980.85,0,0.0,5980.85,4614.94,1365.91,Rajasthan,Jaipur,Net Banking,Same-Day,Mobile App,0,2
AMZ-165407,2022-01-02,CUST-14081,Aditya Malhotra,New,Grocery,Green Tea,1,1328.3,1328.3,5,66.42,1261.88,735.37,526.51,Maharashtra,Nagpur,Amazon Pay,Standard,Website,0,3
AMZ-165625,2022-01-02,CUST-25688,Karan Gupta,New,Toys & Baby Products,Remote Control Car,2,2470.43,4940.86,20,988.17,3952.69,3615.95,336.74,Punjab,Ludhiana,Cash on Delivery,Same-Day,Amazon App - Prime,0,4
AMZ-116886,2022-01-02,CUST-27124,Rohan Iyer,Prime Member,Home & Kitchen,Air Fryer,1,9898.35,9898.35,25,2474.59,7423.76,5854.88,1568.88,Punjab,Ludhiana,Credit Card,Standard,Amazon App - Prime,0,5
AMZ-185991,2022-01-02,CUST-43424,Aadhya Das,New,Home & Kitchen,Pressure Cooker,2,1654.63,3309.26,25,827.32,2481.94,1917.42,564.52,Gujarat,Surat,Credit Card,Prime One-Day,Website,0,1
AMZ-102764,2022-01-02,CUST-26304,Rohan Bose,Returning,Books,Self-Help Book,3,236.66,709.98,25,177.5,532.48,499.98,32.5,Telangana,Hyderabad,Credit Card,Expedited,Website,1,1
AMZ-185971,2022-01-02,CUST-33880,Neha Reddy,Prime Member,Toys & Baby Products,Soft Toy,2,1499.65,2999.3,15,449.9,2549.4,2303.21,246.19,Karnataka,Mysuru,Credit Card,Prime One-Day,Amazon App - Prime,0,4
AMZ-171959,2022-01-02,CUST-25413,Advait Sharma,New,Fashion,Women's Kurti,1,1860.79,1860.79,15,279.12,1581.67,1119.27,462.4,Kerala,Thiruvananthapuram,Credit Card,Standard,Website,0,5
AMZ-105948,2022-01-02,CUST-38015,Sai Mehta,New,Beauty & Personal Care,Hair Dryer,1,1549.24,1549.24,0,0.0,1549.24,945.95,603.29,Tamil Nadu,Coimbatore,Credit Card,Standard,Website,0,5
AMZ-162898,2022-01-02,CUST-28157,Riya Gupta,New,Toys & Baby Products,Remote Control Car,1,498.91,498.91,0,0.0,498.91,307.15,191.76,Gujarat,Ahmedabad,Credit Card,Expedited,Website,0,5
AMZ-150763,2022-01-02,CUST-15944,Arjun Reddy,Returning,Home & Kitchen,Vacuum Cleaner,1,2718.52,2718.52,20,543.7,2174.82,1524.82,650.0,West Bengal,Howrah,UPI,Standard,Amazon App - Prime,0,4
AMZ-120858,2022-01-02,CUST-38000,Aadhya Gupta,Returning,Home & Kitchen,Water Bottle,2,5753.76,11507.52,40,4603.01,6904.51,8652.94,-1748.43,Haryana,Gurugram,Cash on Delivery,Standard,Amazon App - Prime,0,5
AMZ-190329,2022-01-02,CUST-10294,Vihaan Gupta,Returning,Toys & Baby Products,Diaper Pack,1,859.1,859.1,15,128.86,730.24,654.36,75.88,Rajasthan,Jaipur,Net Banking,Standard,Mobile App,0,5
AMZ-160509,2022-01-02,CUST-33759,Priya Gupta,Prime Member,Electronics,Bluetooth Speaker,4,64738.53,258954.12,15,38843.12,220111.0,179493.68,40617.32,Rajasthan,Jaipur,Amazon Pay,Standard,Website,0,4
AMZ-181995,2022-01-02,CUST-11299,Advait Verma,New,Books,Cookbook,1,525.73,525.73,5,26.29,499.44,294.81,204.63,Haryana,Faridabad,UPI,Expedited,Amazon App - Prime,0,4
AMZ-131680,2022-01-02,CUST-37632,Riya Das,New,Beauty & Personal Care,Makeup Kit,1,2433.92,2433.92,5,121.7,2312.22,1776.75,535.47,Telangana,Hyderabad,UPI,Same-Day,Amazon App - Prime,0,5
AMZ-110323,2022-01-02,CUST-29347,Sai Iyer,New,Electronics,Power Bank,2,45348.62,90697.24,10,9069.72,81627.52,59575.78,22051.74,Delhi,New Delhi,UPI,Standard,Amazon App - Prime,0,4
AMZ-167957,2022-01-02,CUST-33514,Ananya Sharma,Returning,Books,Biography,1,313.55,313.55,10,31.36,282.19,205.18,77.01,Gujarat,Ahmedabad,Credit Card,Same-Day,Amazon App - Prime,0,2
AMZ-138259,2022-01-02,CUST-22934,Priya Patel,Prime Member,Electronics,Power Bank,1,50867.51,50867.51,30,15260.25,35607.26,28722.32,6884.94,Delhi,New Delhi,Amazon Pay,Same-Day,Website,0,4
AMZ-133026,2022-01-02,CUST-34814,Advait Patel,Returning,Electronics,Camera,2,14931.45,29862.9,5,1493.14,28369.76,20305.67,8064.09,West Bengal,Kolkata,UPI,Expedited,Website,0,4
AMZ-130232,2022-01-02,CUST-37084,Ishita Das,Returning,Electronics,Tablet,3,57803.55,173410.65,40,69364.26,104046.39,97509.33,6537.06,Tamil Nadu,Chennai,UPI,Prime One-Day,Amazon App - Prime,0,3
AMZ-141409,2022-01-02,CUST-36713,Ishita Malhotra,Prime Member,Books,Children's Book,1,524.88,524.88,5,26.24,498.64,325.2,173.44,Tamil Nadu,Chennai,UPI,Standard,Mobile App,0,1
AMZ-135507,2022-01-02,CUST-19932,Aadhya Gupta,Returning,Beauty & Personal Care,Face Wash,1,873.98,873.98,15,131.1,742.88,630.95,111.93,Rajasthan,Udaipur,Credit Card,Standard,Website,0,4
AMZ-123530,2022-01-02,CUST-19063,Ananya Chopra,Returning,Home & Kitchen,Non-Stick Cookware,2,5351.32,10702.64,10,1070.26,9632.38,8181.55,1450.83,Delhi,New Delhi,Credit Card,Standard,Website,0,4
AMZ-127571,2022-01-02,CUST-42744,Ritu Bose,Returning,Toys & Baby Products,Soft Toy,1,3860.57,3860.57,10,386.06,3474.51,2826.8,647.71,Maharashtra,Pune,UPI,Standard,Website,0,4
AMZ-110367,2022-01-02,CUST-14474,Advait Verma,Returning,Home & Kitchen,Mixer Grinder,5,9954.32,49771.6,40,19908.64,29862.96,27579.74,2283.22,Haryana,Gurugram,Cash on Delivery,Expedited,Website,0,4
AMZ-103736,2022-01-02,CUST-24877,Simran Verma,New,Books,Self-Help Book,1,915.58,915.58,5,45.78,869.8,610.76,259.04,Rajasthan,Jaipur,Credit Card,Standard,Amazon App - Prime,0,3
AMZ-120635,2022-01-02,CUST-11339,Ananya Kumar,Prime Member,Electronics,Router,2,54556.89,109113.78,15,16367.07,92746.71,84516.89,8229.82,Tamil Nadu,Chennai,Debit Card,Expedited,Amazon App - Prime,0,4
AMZ-190097,2022-01-02,CUST-13115,Advait Mehta,Returning,Fashion,Formal Shirt,1,2753.98,2753.98,0,0.0,2753.98,1764.69,989.29,Haryana,Gurugram,Cash on Delivery,Expedited,Website,0,5
AMZ-139537,2022-01-02,CUST-44448,Aarav Iyer,Prime Member,Home & Kitchen,Vacuum Cleaner,1,2193.97,2193.97,10,219.4,1974.57,1380.19,594.38,West Bengal,Howrah,Debit Card,Standard,Amazon App - Prime,0,2
AMZ-147327,2022-01-02,CUST-32208,Riya Nair,Prime Member,Fashion,Jeans,1,3132.16,3132.16,10,313.22,2818.94,2244.55,574.39,Punjab,Ludhiana,Debit Card,Standard,Website,0,4
AMZ-112263,2022-01-02,CUST-28479,Diya Joshi,Returning,Electronics,Headphones,1,63562.02,63562.02,15,9534.3,54027.72,40763.39,13264.33,Telangana,Hyderabad,Cash on Delivery,Same-Day,Amazon App - Prime,0,4
AMZ-128103,2022-01-02,CUST-15740,Reyansh Rao,Returning,Fashion,Jacket,1,1534.28,1534.28,0,0.0,1534.28,1063.85,470.43,Kerala,Kochi,UPI,Expedited,Website,0,5
AMZ-177124,2022-01-02,CUST-27750,Kabir Kumar,New,Electronics,Camera,1,48080.99,48080.99,20,9616.2,38464.79,27099.49,11365.3,West Bengal,Howrah,Credit Card,Expedited,Amazon App - Prime,0,5
AMZ-104482,2022-01-02,CUST-35904,Ayaan Singh,Prime Member,Fashion,Jacket,2,1797.42,3594.84,10,359.48,3235.36,2629.77,605.59,Telangana,Hyderabad,UPI,Same-Day,Website,0,2
AMZ-171919,2022-01-02,CUST-31843,Ananya Mehta,Returning,Grocery,Basmati Rice,1,1349.11,1349.11,15,202.37,1146.74,1013.0,133.74,Telangana,Hyderabad,Debit Card,Expedited,Mobile App,0,5
AMZ-176697,2022-01-02,CUST-18099,Vivaan Rao,Prime Member,Sports & Fitness,Football,1,8043.57,8043.57,0,0.0,8043.57,5662.72,2380.85,Telangana,Hyderabad,Debit Card,Expedited,Mobile App,0,1
AMZ-101438,2022-01-02,CUST-20232,Ananya Kumar,New,Books,Self-Help Book,1,274.28,274.28,10,27.43,246.85,201.84,45.01,Maharashtra,Pune,Amazon Pay,Expedited,Website,0,4
AMZ-116266,2022-01-02,CUST-14146,Vivaan Chopra,New,Sports & Fitness,Dumbbells,3,9506.77,28520.31,15,4278.05,24242.26,15850.4,8391.86,Rajasthan,Jaipur,Cash on Delivery,Same-Day,Website,0,5
AMZ-141858,2022-01-02,CUST-30883,Myra Mehta,Returning,Electronics,Gaming Console,2,31152.12,62304.24,0,0.0,62304.24,42262.76,20041.48,Punjab,Ludhiana,Debit Card,Prime One-Day,Mobile App,0,2
